EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
23,3,2,4,5,4,7,2,5
17,5,6,2,6,1,7,3,4
39,5,4,2,7,7,3,7,4
58,7,4,3,6,2,6,2,4
65,3,2,4,4,2,5,1,4
8,4,5,7,2,1,4,1,3
9,6,6,3,4,4,7,4,3
13,7,6,3,3,1,6,3,3
38,7,7,3,5,2,6,3,3
56,7,7,3,5,1,5,2,3
4,7,7,6,6,5,5,7,2
7,7,7,4,3,5,6,4,2
11,5,4,6,2,2,7,5,2
12,4,3,5,4,3,5,3,2
15,7,6,2,5,1,4,2,2
18,6,6,4,6,7,7,5,2
21,4,5,3,5,7,7,5,2
22,5,4,2,6,5,7,5,2
26,5,3,6,5,7,5,7,2
29,5,4,4,4,1,5,3,2
31,7,5,3,6,7,6,4,2
32,7,7,6,4,7,6,4,2
33,6,5,4,5,2,5,3,2
35,5,4,5,2,5,7,5,2
36,7,7,4,2,7,1,3,2
37,4,3,3,5,1,4,6,2
43,7,5,3,6,4,7,5,2
67,7,7,4,3,3,7,5,2
68,7,5,4,6,1,3,1,2
71,7,4,4,3,1,5,3,2
72,4,3,2,7,4,3,1,2
75,5,6,2,5,1,6,4,2
76,4,5,3,5,7,5,7,2
77,6,3,4,5,3,5,3,2
5,7,7,5,2,6,7,6,1
6,4,3,3,7,7,6,5,1
27,6,4,3,3,4,2,1,1
28,7,5,4,5,7,3,4,1
34,5,7,2,6,7,7,6,1
44,7,7,1,7,5,7,6,1
45,7,7,1,6,5,7,6,1
48,6,7,1,7,7,6,7,1
49,7,6,5,4,1,5,4,1
50,5,4,1,4,5,4,3,1
51,3,2,4,4,3,2,1,1
53,5,6,6,6,2,5,4,1
55,6,5,1,6,1,4,3,1
57,5,6,3,4,4,4,5,1
59,5,4,3,7,7,7,6,1
63,6,3,4,6,7,4,5,1
69,5,4,6,2,5,6,7,1
70,6,4,6,2,3,3,2,1
73,7,4,1,7,7,6,5,1
74,5,7,4,6,1,2,3,1
79,6,3,4,3,7,7,6,1
80,7,4,1,7,7,7,6,1
1,6,6,3,6,5,7,7,0
2,4,4,4,7,3,7,7,0
3,7,7,5,2,3,5,5,0
10,7,7,5,4,1,1,1,0
14,6,6,5,3,7,7,7,0
16,7,6,3,7,4,6,6,0
19,3,4,3,6,7,7,7,0
20,6,6,4,6,7,7,7,0
24,5,3,5,2,7,7,7,0
25,6,4,3,6,7,7,7,0
30,6,7,1,7,1,2,2,0
40,7,4,3,6,6,5,5,0
41,7,6,5,5,7,7,7,0
42,6,5,3,7,7,7,7,0
46,7,7,1,7,1,1,1,0
47,6,7,1,7,1,1,1,0
52,4,3,3,7,7,5,5,0
54,4,6,4,5,7,6,6,0
60,7,5,3,5,7,7,7,0
61,5,4,3,5,1,3,3,0
62,7,7,3,7,7,7,7,0
64,7,6,4,5,7,7,7,0
66,7,4,4,7,4,7,7,0
78,6,5,4,5,5,7,7,0
