Condition,Frequency,sub,EventNumber
Context,,14,9
Self,,14,7
Context,,14,17
Self,,14,33
Self,,14,34
Context,,14,78
Context,,14,76
Context,,14,32
Self,,14,28
Self,,14,18
Context,,14,6
Self,,14,42
Context,,14,16
Self,,14,48
Self,,14,63
Context,,14,71
Self,,14,45
Self,,14,73
Context,,14,38
Self,,14,25
Context,,14,67
Context,,14,3
Context,,14,75
Self,,14,15
Self,,14,44
Context,,14,19
Self,,14,41
Self,,14,43
Context,,14,39
Context,,14,50
Self,,14,37
Context,,14,35
Self,,14,52
Context,,14,11
Context,,14,60
Self,,14,49
Context,,14,4
Self,,14,80
Context,,14,26
Context,,14,59
Self,,14,20
Self,,14,62
Context,,14,61
Context,,14,64
Context,,14,40
Self,,14,29
Self,,14,21
Self,,14,1
Context,,14,77
Self,,14,22
Context,,14,23
Self,,14,66
Self,,14,55
Context,,14,69
Context,,14,5
Self,,14,58
Self,,14,56
Context,,14,12
Self,,14,14
Context,,14,57
Context,,14,79
Self,,14,13
Self,,14,2
Context,,14,31
,,,24
,,,53
,,,54
