sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
30,4,1,2,8.037866,0.75,3,1.5,task/Jitter/right1.jpg,task/Jitter/left1.jpg,NaN,[2 1],1,13.420887,13,14.751539,1.330652,19.43717,27.453265,3,37.036005,4,319788.9431,2,32.502968,1,319788.0812,1,27.969923,4,319788.6753,41.052382
30,4,2,1,41.069072,0.75,3,1.5,task/Jitter/left2.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,46.45204,41,48.442548,1.990507,52.468312,60.484436,3,70.067145,4,319788.8228,2,65.534113,4,319789.4668,1,61.001088,4,319789.188,74.083527
30,4,3,2,74.100212,0.75,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/left3.jpg,task/Jitter/left2.jpg,[2 1 1],1,81.033085,56,83.738509,2.705424,87.049369,95.065448,2,100.115157,1,319788.5589,3,104.648191,1,319788.8789,1,95.582125,1,319788.985,108.664589
30,4,4,1,108.68129,1.5,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/right2.jpg,task/Jitter/right3.jpg,[2 2 2],1,115.614138,39,117.192377,1.578239,121.630403,129.646509,2,134.696216,4,319788.5109,3,139.22925,4,319788.5369,1,130.163164,4,319788.64,143.245625
30,4,5,1,143.262317,0.75,3,1.5,task/Jitter/right2.jpg,task/Jitter/left2.jpg,NaN,[2 1],1,148.64529,68,151.664374,3.019084,154.661564,162.677678,1,163.194327,4,319788.8366,2,167.727347,4,319788.4946,3,172.260386,4,319788.4176,176.276781
30,4,6,2,176.293456,1.5,4.5,1.5,task/Jitter/right1.jpg,task/Jitter/right2.jpg,task/Jitter/left2.jpg,[2 2 1],1,183.976278,38,188.740131,4.763853,189.992548,198.008637,1,198.525331,4,319788.5376,3,207.5914,2,319789.4253,2,203.058354,1,319788.3736,211.607777
30,4,7,2,211.624452,0.75,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/left2.jpg,task/Jitter/left3.jpg,[2 1 1],1,218.557324,37,219.950301,1.392977,224.573591,232.589695,2,237.639396,2,319789.6316,3,242.172444,1,319789.1113,1,233.106371,1,319789.0476,246.18882
30,4,8,1,246.205505,1.5,3,1.5,task/Jitter/right2.jpg,task/Jitter/right1.jpg,NaN,[2 2],1,252.338425,59,254.305271,1.966845,258.354695,266.370816,3,275.953556,4,319789.2443,1,266.88747,2,319789.2634,2,271.420504,3,319789.4894,279.969921
30,4,9,1,279.986596,0.75,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/left1.jpg,task/Jitter/left2.jpg,[2 1 1],1,286.169529,8,288.212179,2.042651,292.185802,300.201899,1,300.718564,4,319788.2902,2,305.251602,4,319788.9383,3,309.784628,4,319789.6973,313.801022
30,4,10,2,313.817707,0.75,3,1.5,task/Jitter/left3.jpg,task/Jitter/right1.jpg,NaN,[1 2],1,319.200669,21,322.29019,3.089521,325.216945,333.233062,3,342.815781,4,319788.0081,2,338.282749,1,319788.255,1,333.749714,4,319789.3519,346.832155
30,4,11,1,346.848841,0.75,3,0.75,task/Jitter/left3.jpg,task/Jitter/left3.jpg,NaN,[1 1],1,351.465203,66,353.295152,1.829948,357.481468,365.497586,1,366.014256,4,319788.6314,3,375.08032,4,319789.2802,2,370.547298,4,319789.3412,379.096692
30,4,12,2,379.113376,1.5,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/left1.jpg,task/Jitter/right2.jpg,[1 1 2],1,386.029595,50,388.849077,2.819482,392.045878,400.061976,2,405.111665,2,319790.2659,1,400.578627,2,319789.7601,3,409.64471,2,319789.995,413.661075
30,4,13,2,413.67773,1.5,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/right1.jpg,task/Jitter/right1.jpg,[2 2 2],1,420.577307,23,421.862115,1.284807,426.593554,434.60969,2,439.659374,1,319788.8793,1,435.126339,1,319788.5694,3,444.192409,1,319788.2593,448.208795
30,4,14,1,448.225464,0.75,4.5,0.75,task/Jitter/left2.jpg,task/Jitter/right1.jpg,task/Jitter/right3.jpg,[1 2 2],1,454.408407,43,457.125067,2.71666,460.424643,468.44078,2,473.490485,4,319788.7622,1,468.957444,4,319788.698,3,478.023514,3,319788.3652,482.039895
30,4,15,1,482.05658,1.5,3,1.5,task/Jitter/right2.jpg,task/Jitter/right3.jpg,NaN,[2 2],1,488.189507,9,489.603038,1.413531,494.205787,502.221899,2,507.271572,4,319788.5808,1,502.738547,4,319788.313,3,511.804609,4,319788.3158,515.820998
30,4,16,2,515.837694,1.5,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/right1.jpg,task/Jitter/right2.jpg,[2 2 2],1,523.520498,74,525.261978,1.741481,529.536786,537.552885,1,538.069539,4,319788.489,2,542.602574,1,319788.6,3,547.135623,4,319788.197,551.15199
