sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
33,4,1,2,8.035214,1.5,3,1.5,task/Jitter/right3.jpg,task/Jitter/left1.jpg,NaN,[2 1],1,14.168203,44,14.972745,0.804543,20.184433,28.200574,2,33.250267,1,481578.1726,1,28.717241,3,481578.7547,3,37.783295,1,481576.4526,41.799694
33,4,2,1,41.816374,0.75,3,0.75,task/Jitter/right3.jpg,task/Jitter/left2.jpg,NaN,[2 1],1,46.449401,42,47.628744,1.179342,52.46567,60.481782,2,65.531457,1,481577.1152,1,60.998422,2,481578.0483,3,70.064502,2,481577.0835,74.080886
33,4,3,2,74.097562,0.75,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/left3.jpg,task/Jitter/right2.jpg,[2 1 2],1,80.280482,56,81.249647,0.969165,86.296758,94.312874,2,99.362558,1,481576.4543,1,94.829536,3,481579.0471,3,103.895584,1,481576.0341,107.911974
33,4,4,1,107.928655,0.75,3,0.75,task/Jitter/left2.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,112.561697,53,113.724607,1.162911,118.577964,126.594073,2,131.643755,3,481577.1332,3,136.176794,1,481577.3338,1,127.110732,2,481577.3301,140.193182
33,4,5,1,140.209802,1.5,4.5,1.5,task/Jitter/right1.jpg,task/Jitter/right3.jpg,task/Jitter/left2.jpg,[2 2 1],1,147.892674,32,149.117641,1.224966,153.908952,161.925066,2,166.974751,1,481576.5441,1,162.441727,1,481576.8159,3,171.507797,1,481575.8438,175.52417
33,4,6,2,175.540855,1.5,4.5,0.75,task/Jitter/left2.jpg,task/Jitter/left2.jpg,task/Jitter/left1.jpg,[1 1 1],1,182.457061,31,,,188.473313,196.489454,3,206.072164,1,481576.0766,2,201.539128,1,481577.0927,1,197.006111,1,481576.8315,210.088568
33,4,7,2,210.105243,1.5,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/right1.jpg,task/Jitter/left3.jpg,[2 2 1],1,217.038103,29,218.024546,0.986443,223.05438,231.070471,2,236.120184,1,481576.5455,1,231.587157,1,481576.1854,3,240.653223,1,481578.0806,244.669586
33,4,8,1,244.686292,1.5,3,1.5,task/Jitter/left2.jpg,task/Jitter/right1.jpg,NaN,[1 2],1,250.819219,49,251.362575,0.543356,256.835466,264.851594,1,265.368255,3,481579.0053,3,274.434308,4,481576.6564,2,269.901288,2,481578.4703,278.450702
33,4,9,1,278.467381,1.5,4.5,0.75,task/Jitter/left2.jpg,task/Jitter/right3.jpg,task/Jitter/right2.jpg,[1 2 2],1,285.400261,21,286.633526,1.233266,291.41652,299.432612,2,304.482331,2,481577.0022,3,309.015369,1,481576.8084,1,299.94929,1,481576.9944,313.031741
33,4,10,2,313.04844,0.75,3,1.5,task/Jitter/right3.jpg,task/Jitter/right2.jpg,NaN,[2 2],1,318.431413,58,319.45652,1.025107,324.447669,332.463794,2,337.513471,1,481576.2022,1,332.980456,1,481576.5033,3,342.046504,1,481576.0802,346.062902
33,4,11,1,346.07958,0.75,4.5,1.5,task/Jitter/right1.jpg,task/Jitter/right1.jpg,task/Jitter/left2.jpg,[2 2 1],1,353.012463,19,354.511509,1.499046,359.028729,367.044831,2,372.094529,1,481576.8551,3,376.627548,3,481577.9541,1,367.561484,3,481577.7742,380.643945
33,4,12,2,380.660618,0.75,3,1.5,task/Jitter/right1.jpg,task/Jitter/left3.jpg,NaN,[2 1],1,386.043606,70,387.209511,1.165905,392.059878,400.075988,1,400.592636,1,481577.6431,3,409.658714,1,481576.3257,2,405.125667,3,481578.3228,413.675087
33,4,13,2,413.69178,1.5,3,0.75,task/Jitter/right3.jpg,task/Jitter/left2.jpg,NaN,[2 1],1,419.074749,5,420.045465,0.970716,425.091017,433.107144,2,438.156819,2,481576.8046,3,442.689849,1,481576.2186,1,433.623793,1,481577.6099,446.706228
33,4,14,1,446.722873,0.75,3,0.75,task/Jitter/left2.jpg,task/Jitter/left3.jpg,NaN,[1 1],1,451.35594,20,452.660432,1.304493,457.372222,465.388347,1,465.905,1,481577.9167,3,474.971063,4,481576.8174,2,470.438015,3,481577.7946,478.987454
33,4,15,1,479.004075,1.5,3,0.75,task/Jitter/left1.jpg,task/Jitter/right1.jpg,NaN,[1 2],1,484.403759,74,485.918345,1.514586,490.420027,498.436159,1,498.9528,4,481577.0796,3,508.018864,2,481578.6885,2,503.485842,4,481576.4948,512.035208
33,4,16,2,512.05195,0.75,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/left2.jpg,task/Jitter/right1.jpg,[1 1 2],1,518.98482,24,520.310331,1.325511,525.001088,533.017194,2,538.06689,1,481576.4745,3,542.599913,1,481576.5906,1,533.533845,3,481577.5936,546.616315
