sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
18,4,1,2,8.024601,0.75,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/left2.jpg,task/Jitter/right1.jpg,[2 1 2],1,14.19086,52,16.215501,2.02464,20.207124,28.223211,2,33.272914,1,15885.3461,3,37.805946,1,15885.67376,1,28.739881,4,15886.78785,41.822337
18,4,2,1,41.838951,1.5,3,1.5,task/Jitter/right3.jpg,task/Jitter/left2.jpg,NaN,[2 1],1,47.971931,78,52.035494,4.063563,53.988164,62.004309,3,71.587028,4,15884.83963,2,67.054004,4,15885.86789,1,62.520973,4,15886.69891,75.603413
18,4,3,2,75.620038,1.5,4.5,0.75,task/Jitter/right2.jpg,task/Jitter/left2.jpg,task/Jitter/left2.jpg,[2 1 1],1,82.552964,7,83.936431,1.383467,88.569221,96.585346,1,97.10198,1,15886.7357,3,106.168059,1,15886.35378,2,101.635009,4,15887.27284,110.184443
18,4,4,1,110.201104,1.5,4.5,0.75,task/Jitter/right2.jpg,task/Jitter/left3.jpg,task/Jitter/left1.jpg,[2 1 1],1,117.133983,10,118.460369,1.326385,123.150221,131.166348,3,140.749074,4,15885.38371,1,131.683017,4,15886.85083,2,136.216052,4,15886.24675,144.765447
18,4,5,1,144.782131,1.5,4.5,1.5,task/Jitter/left2.jpg,task/Jitter/left1.jpg,task/Jitter/left2.jpg,[1 1 1],1,152.448281,13,154.827303,2.379022,158.464557,166.480666,2,171.530341,,,1,166.997312,3,15887.55743,3,176.063391,2,15886.26943,180.079766
18,4,6,2,180.096444,1.5,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/right3.jpg,task/Jitter/right1.jpg,[1 2 2],1,187.029308,72,190.493334,3.464025,193.04554,201.061676,3,210.64441,1,15885.72709,1,201.578338,1,15885.55044,2,206.111383,4,15886.92631,214.660796
18,4,7,2,214.677465,1.5,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/right2.jpg,task/Jitter/left2.jpg,[1 2 1],1,222.376947,57,224.220238,1.843291,228.393213,236.409345,1,236.92598,1,15885.47765,2,241.459021,1,15886.85466,3,245.992048,4,15886.14938,250.008426
18,4,8,1,250.025108,0.75,3,0.75,task/Jitter/right1.jpg,task/Jitter/right2.jpg,NaN,[2 2],1,254.658138,69,,,260.674402,268.690507,1,269.207163,4,15886.22753,2,273.74019,4,15886.91223,3,278.273231,3,15885.79039,282.289602
18,4,9,1,282.306289,0.75,3,0.75,task/Jitter/left3.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,286.939313,49,288.823233,1.883919,292.95558,300.971696,3,310.554388,2,15885.68519,2,306.021367,,,1,301.488329,2,15886.18425,314.570775
18,4,10,2,314.587414,0.75,3,0.75,task/Jitter/left1.jpg,task/Jitter/left2.jpg,NaN,[1 1],1,319.220493,79,322.799122,3.57863,325.236741,333.252867,2,338.302553,1,15885.19206,3,342.835584,1,15884.87076,1,333.769524,1,15886.0648,346.851945
18,4,11,1,346.868651,1.5,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/left1.jpg,task/Jitter/right3.jpg,[2 1 2],1,354.551467,20,356.106171,1.554703,360.567733,368.583841,2,373.633514,2,15887.02898,3,378.166561,3,15887.40401,1,369.100493,2,15885.74781,382.182928
18,4,12,2,382.199562,0.75,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/left3.jpg,task/Jitter/left3.jpg,[1 1 1],1,388.36588,56,389.724102,1.358221,394.382133,402.398257,3,411.980965,2,15887.76853,1,402.914894,1,15887.10358,2,407.447955,1,15886.65328,415.997349
18,4,13,2,416.013979,1.5,3,1.5,task/Jitter/left3.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,422.146961,38,423.895982,1.749021,428.163216,436.179335,2,441.229023,1,15885.54836,3,445.762049,1,15886.59335,1,436.695976,4,15886.05343,449.778418
18,4,14,1,449.79511,1.5,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/left2.jpg,task/Jitter/right3.jpg,[2 1 2],1,456.711323,19,459.720006,3.008683,462.727584,470.743709,3,480.326405,3,15887.299,1,471.260345,3,15886.48009,2,475.793386,2,15887.18875,484.342783
18,4,15,1,484.359453,1.5,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/left2.jpg,task/Jitter/right2.jpg,[1 1 2],1,492.042309,55,494.101964,2.059655,498.058572,506.074689,2,511.124354,1,15886.04794,1,506.591336,2,15886.95299,3,515.657383,2,15886.44299,519.67378
18,4,16,2,519.690448,1.5,3,0.75,task/Jitter/right3.jpg,task/Jitter/left1.jpg,NaN,[2 1],1,525.073437,61,528.361935,3.288498,531.089693,539.105821,2,544.155497,1,15885.64388,1,539.622453,1,15885.28989,3,548.68852,1,15884.78378,552.704907
