EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
30,4,4,3,3,2,5,1,4
61,6,7,3,3,1,5,1,4
27,5,5,3,3,1,5,2,3
34,4,5,2,5,3,7,4,3
43,4,6,1,6,2,6,3,3
77,3,4,2,4,2,7,4,3
23,7,7,2,4,3,1,3,2
26,4,5,4,2,1,4,2,2
35,5,5,4,2,6,4,6,2
40,4,6,2,3,2,7,5,2
41,5,5,2,3,2,7,5,2
42,7,7,2,5,2,7,5,2
44,5,5,1,4,1,5,3,2
45,4,4,2,3,1,5,3,2
46,5,5,2,3,3,7,5,2
50,2,5,3,3,5,5,7,2
54,3,4,5,2,4,5,7,2
55,4,5,2,4,4,5,7,2
58,6,7,3,1,3,7,5,2
60,6,6,2,5,1,3,1,2
65,6,6,3,2,4,5,7,2
68,5,6,2,6,3,5,7,2
69,4,6,2,3,1,5,3,2
78,5,5,3,2,3,5,7,2
1,7,4,3,4,5,7,6,1
2,4,5,2,3,2,5,4,1
5,7,6,1,6,3,6,5,1
9,6,6,2,5,1,1,2,1
11,6,6,1,7,1,2,1,1
12,3,5,2,7,2,1,2,1
15,5,5,2,5,4,6,7,1
17,6,6,3,3,6,6,7,1
18,4,4,3,2,5,6,7,1
19,5,5,3,2,3,5,6,1
20,6,7,3,2,4,4,5,1
21,4,4,4,2,5,6,7,1
22,5,5,2,5,2,1,2,1
24,6,6,3,3,1,3,2,1
25,6,6,2,3,1,3,2,1
31,5,5,2,4,3,6,7,1
32,4,4,3,2,2,7,6,1
33,5,5,4,1,4,6,5,1
51,5,6,4,2,6,6,7,1
52,4,6,3,2,3,7,6,1
53,3,5,4,3,5,5,6,1
57,5,5,4,2,2,7,6,1
59,5,6,2,3,2,6,7,1
66,4,5,2,3,1,2,1,1
70,5,6,2,5,1,4,3,1
71,5,5,3,3,2,4,5,1
73,3,5,2,3,3,6,7,1
76,3,5,2,3,3,6,7,1
79,6,7,1,5,1,2,1,1
3,5,5,1,5,1,1,1,0
4,6,6,2,5,6,7,7,0
6,5,6,1,5,1,1,1,0
7,5,7,1,6,1,1,1,0
8,6,5,3,4,2,1,1,0
10,5,7,1,6,2,1,1,0
13,5,5,5,3,4,4,4,0
14,3,5,2,4,5,7,7,0
16,3,5,1,6,5,7,7,0
28,6,6,3,2,2,5,5,0
29,4,6,2,3,4,7,7,0
36,6,6,2,4,6,7,7,0
37,5,6,2,3,2,6,6,0
38,3,4,3,2,5,6,6,0
39,3,5,2,3,5,7,7,0
47,4,6,3,5,5,7,7,0
48,3,5,3,4,6,7,7,0
49,2,4,3,4,3,7,7,0
56,6,6,1,2,2,2,2,0
62,4,5,3,2,6,7,7,0
63,6,6,3,2,2,7,7,0
64,5,4,2,5,5,7,7,0
67,3,5,5,3,1,1,1,0
72,5,6,4,3,4,6,6,0
74,2,4,3,2,2,5,5,0
75,5,6,4,2,5,7,7,0
80,4,5,4,2,5,7,7,0
