Condition,Frequency,sub,EventNumber
Context,2,21,65
Self,6,21,33
Context,,21,38
Self,7,21,13
Self,,21,76
Context,3,21,62
Context,4,21,57
Context,5,21,28
Self,4,21,24
Self,2,21,41
Context,3,21,78
Self,2,21,29
Context,2,21,40
Self,1,21,59
Self,4,21,20
Context,5,21,70
Self,2,21,31
Self,2,21,58
Context,4,21,35
Self,3,21,14
Context,2,21,42
Context,1,21,53
Context,,21,54
Self,3,21,56
Self,4,21,15
Context,5,21,4
Self,1,21,80
Self,2,21,51
Context,3,21,72
Context,3,21,61
Self,2,21,34
Context,,21,55
Self,2,21,19
Context,,21,37
Context,4,21,36
Self,3,21,71
Context,,21,68
Self,,21,73
Context,1,21,50
Context,2,21,1
Self,2,21,47
Self,3,21,39
Context,4,21,23
Context,2,21,48
Context,2,21,77
Self,4,21,69
Self,3,21,21
Self,6,21,16
Context,2,21,27
Self,2,21,52
Context,3,21,2
Self,4,21,49
Self,,21,26
Context,2,21,32
Context,3,21,18
Self,1,21,45
Self,1,21,25
Context,2,21,30
Self,1,21,63
Context,5,21,43
Context,3,21,17
Self,2,21,74
Self,3,21,64
Context,6,21,5
,,,75
,,,44
,,,46
