Condition,Frequency,sub,EventNumber
Context,2,32,1
Self,3,32,75
Context,5,32,13
Self,1,32,59
Self,6,32,76
Context,1,32,77
Context,7,32,58
Context,1,32,5
Self,1,32,51
Self,7,32,28
Context,3,32,3
Self,4,32,42
Context,7,32,78
Self,7,32,54
Self,1,32,64
Context,5,32,60
Self,1,32,14
Self,1,32,80
Context,2,32,32
Self,1,32,23
Context,6,32,4
Context,1,32,47
Context,6,32,57
Self,2,32,21
Self,7,32,12
Context,1,32,16
Self,7,32,70
Self,6,32,68
Context,7,32,26
Context,7,32,71
Self,2,32,25
Context,1,32,19
Self,5,32,35
Context,1,32,33
Context,1,32,44
Self,1,32,20
Context,4,32,29
Self,7,32,63
Context,6,32,55
Context,1,32,2
Self,7,32,67
Self,1,32,46
Context,1,32,9
Context,2,32,31
Context,1,32,18
Self,1,32,38
Self,3,32,53
Self,7,32,11
Context,3,32,65
Self,5,32,45
Context,1,32,72
Self,7,32,74
Self,1,32,49
Context,1,32,43
Context,6,32,40
Self,3,32,66
Self,1,32,50
Context,7,32,22
Self,2,32,79
Context,4,32,69
Context,7,32,30
Self,1,32,27
Self,7,32,62
Context,1,32,41
,,,15
,,,8
,,,17
