EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
6,3,2,3,1,1,3,3,4
73,7,7,2,5,2,1,2,4
7,1,1,4,1,1,4,3,3
10,7,5,2,1,1,4,3,3
36,3,4,4,1,1,3,2,3
37,6,2,7,2,2,4,3,3
66,4,3,4,2,6,5,4,3
1,3,1,4,1,4,7,5,2
4,3,3,3,4,7,5,7,2
5,3,1,4,1,2,6,4,2
9,1,1,4,1,3,5,3,2
17,3,1,3,1,5,7,5,2
18,5,2,3,6,6,4,6,2
19,2,3,3,5,7,5,7,2
22,2,2,2,1,1,5,3,2
24,2,1,4,1,2,4,2,2
27,7,2,4,3,4,6,4,2
29,2,2,3,1,7,5,7,2
32,2,1,4,1,3,6,4,2
33,6,2,3,2,2,7,5,2
34,5,3,6,1,2,5,3,2
35,6,4,3,5,4,6,4,2
49,4,2,3,1,1,5,3,2
50,4,2,3,1,1,5,3,2
51,4,2,3,1,1,5,3,2
52,3,5,4,1,1,5,3,2
55,5,4,3,5,2,5,7,2
75,4,2,3,7,1,6,4,2
78,4,5,2,3,3,7,5,2
2,1,1,4,2,2,7,6,1
3,6,6,2,1,6,5,6,1
8,2,2,3,2,6,5,4,1
12,7,6,2,1,1,7,6,1
13,6,2,2,6,1,5,6,1
14,3,2,3,2,4,6,7,1
20,4,6,2,1,1,5,4,1
26,6,4,3,1,2,5,6,1
30,2,6,4,3,3,7,6,1
38,3,2,4,1,5,5,4,1
39,2,4,3,1,1,4,3,1
40,1,1,4,3,7,6,7,1
41,2,1,4,1,1,5,6,1
43,2,7,4,3,2,6,7,1
45,3,2,4,5,7,6,7,1
53,7,4,4,3,6,6,7,1
54,2,6,3,5,6,6,7,1
56,3,2,3,1,1,4,3,1
57,6,6,3,4,1,6,5,1
58,2,2,5,1,6,6,7,1
59,3,1,4,1,6,5,4,1
60,1,1,4,1,7,5,4,1
63,3,7,3,3,3,6,7,1
65,2,1,5,2,1,5,4,1
68,1,1,4,2,7,6,7,1
76,2,2,3,6,1,6,7,1
11,5,3,3,2,5,7,7,0
15,3,1,5,1,6,7,7,0
16,6,2,3,3,7,7,7,0
21,3,6,3,1,1,4,4,0
23,5,3,3,1,1,7,7,0
25,7,6,2,2,1,5,5,0
28,6,2,2,1,3,6,6,0
31,4,4,4,2,6,7,7,0
42,3,7,3,6,6,7,7,0
44,7,5,3,6,1,7,7,0
46,3,5,3,3,6,7,7,0
47,4,4,3,1,3,5,5,0
48,4,2,3,1,1,3,3,0
61,6,2,4,1,6,4,4,0
62,6,6,3,6,7,7,7,0
64,3,1,6,1,2,5,5,0
67,1,1,3,5,7,7,7,0
69,2,2,4,1,3,5,5,0
70,2,6,7,1,4,7,7,0
71,5,6,2,4,1,4,4,0
72,2,2,4,2,3,5,5,0
74,1,1,4,1,7,7,7,0
77,6,2,4,3,6,7,7,0
79,1,1,4,6,6,7,7,0
80,6,5,3,6,4,6,6,0
