EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
15,3,4,3,1,1,3,4,4
25,4,7,3,1,1,3,4,4
26,4,4,3,1,4,3,4,4
60,4,4,2,1,1,3,4,4
79,5,5,2,1,1,3,4,4
80,6,6,2,1,1,3,4,4
8,5,7,2,2,4,5,6,3
63,5,6,3,2,2,5,6,3
78,7,7,3,2,1,5,6,3
1,7,5,3,2,5,5,6,2
2,7,4,2,5,6,5,7,2
7,7,7,1,1,3,5,7,2
14,5,7,2,1,5,4,6,2
24,2,2,4,2,7,5,7,2
29,3,5,2,2,6,5,7,2
30,4,5,2,2,6,5,7,2
32,4,4,3,5,7,5,7,2
35,5,5,2,7,7,5,7,2
43,6,7,2,1,4,5,7,2
46,5,7,2,2,4,5,7,2
50,5,6,2,2,7,5,7,2
51,4,6,3,5,7,5,7,2
56,2,6,2,1,1,5,7,2
59,5,7,3,5,5,5,7,2
61,5,7,2,1,3,5,7,2
62,5,3,3,4,4,5,7,2
68,2,4,4,2,6,5,7,2
69,5,7,1,7,7,5,7,2
77,5,3,3,1,4,5,7,2
5,7,6,2,3,7,6,7,1
10,6,5,2,6,7,6,7,1
11,6,7,3,4,6,6,7,1
12,5,4,2,5,7,5,6,1
16,4,4,2,2,7,6,7,1
17,7,7,2,5,5,6,7,1
18,5,6,2,5,5,7,6,1
19,4,4,2,1,3,6,7,1
20,5,5,4,2,5,5,6,1
22,3,3,4,1,1,6,7,1
23,5,5,2,4,7,6,7,1
27,3,3,3,6,7,6,7,1
37,7,3,2,6,3,6,7,1
38,3,6,2,5,5,6,7,1
40,7,5,3,2,2,5,6,1
41,7,7,2,1,3,6,7,1
42,5,5,3,4,7,7,6,1
44,4,7,2,1,6,6,7,1
47,4,3,2,1,1,6,7,1
48,2,2,4,1,7,7,6,1
49,4,7,2,7,7,6,7,1
52,5,5,2,5,7,6,5,1
54,2,2,4,1,7,7,6,1
55,2,2,3,5,7,6,7,1
58,4,3,3,2,3,6,7,1
64,5,7,3,6,7,6,7,1
65,5,2,3,2,6,5,6,1
67,3,3,3,5,7,6,7,1
70,5,6,2,5,4,6,7,1
71,3,3,3,2,4,6,7,1
73,5,5,2,1,6,6,7,1
74,4,4,4,5,7,6,7,1
75,7,6,3,1,1,6,7,1
3,7,7,2,6,7,7,7,0
4,6,5,3,1,6,6,6,0
6,5,4,2,6,7,7,7,0
9,5,7,3,1,7,7,7,0
13,4,6,3,1,2,6,6,0
21,2,3,3,1,2,6,6,0
28,4,7,3,2,6,7,7,0
31,4,5,2,1,4,7,7,0
33,6,2,2,6,7,5,5,0
34,4,7,2,3,5,7,7,0
36,6,6,3,1,4,7,7,0
39,6,2,3,1,4,7,7,0
45,5,4,2,6,7,7,7,0
53,4,4,4,2,2,7,7,0
57,5,6,3,6,6,7,7,0
66,4,5,3,2,6,7,7,0
72,4,7,2,6,6,7,7,0
76,4,5,3,1,1,7,7,0
