Condition,Frequency,sub,EventNumber
Context,1,30,71
Self,2,30,29
Context,2,30,22
Self,2,30,77
Self,7,30,18
Context,7,30,57
Context,2,30,49
Context,1,30,35
Self,1,30,12
Self,3,30,73
Context,2,30,75
Self,6,30,34
Context,1,30,70
Self,4,30,16
Self,3,30,61
Context,2,30,4
Self,5,30,10
Self,3,30,67
Context,2,30,46
Self,1,30,31
Context,7,30,11
Context,1,30,30
Context,2,30,54
Self,6,30,52
Self,5,30,5
Context,1,30,6
Self,1,30,53
Self,2,30,47
Context,1,30,48
Context,1,30,24
Self,5,30,7
Context,1,30,42
Self,4,30,2
Context,1,30,58
Context,7,30,45
Self,1,30,32
Context,2,30,55
Self,4,30,17
Context,1,30,64
Context,7,30,19
Self,7,30,28
Self,3,30,72
Context,1,30,63
Context,1,30,36
Context,2,30,69
Self,5,30,62
Self,1,30,44
Self,2,30,3
Context,5,30,13
Self,2,30,41
Context,1,30,56
Self,2,30,39
Self,3,30,68
Context,2,30,38
Context,3,30,37
Self,2,30,59
Self,4,30,8
Context,1,30,21
Self,3,30,66
Context,4,30,50
Context,1,30,23
Self,2,30,43
Self,5,30,9
Context,1,30,74
,,,76
,,,51
,,,27
