EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
71,3,3,3,2,4,6,7,6.5,2,30
29,3,5,2,2,6,5,7,6,1,30
22,3,3,4,1,1,6,7,6.5,2,30
77,5,3,3,1,4,5,7,6,1,30
18,5,6,2,5,5,7,6,6.5,1,30
57,5,6,3,6,6,7,7,7,2,30
49,4,7,2,7,7,6,7,6.5,2,30
35,5,5,2,7,7,5,7,6,2,30
12,5,4,2,5,7,5,6,5.5,1,30
73,5,5,2,1,6,6,7,6.5,1,30
75,7,6,3,1,1,6,7,6.5,2,30
34,4,7,2,3,5,7,7,7,1,30
70,5,6,2,5,4,6,7,6.5,2,30
16,4,4,2,2,7,6,7,6.5,1,30
61,5,7,2,1,3,5,7,6,1,30
4,6,5,3,1,6,6,6,6,2,30
10,6,5,2,6,7,6,7,6.5,1,30
67,3,3,3,5,7,6,7,6.5,1,30
46,5,7,2,2,4,5,7,6,2,30
31,4,5,2,1,4,7,7,7,1,30
11,6,7,3,4,6,6,7,6.5,2,30
30,4,5,2,2,6,5,7,6,2,30
54,2,2,4,1,7,7,6,6.5,2,30
52,5,5,2,5,7,6,5,5.5,1,30
5,7,6,2,3,7,6,7,6.5,1,30
6,5,4,2,6,7,7,7,7,2,30
53,4,4,4,2,2,7,7,7,1,30
47,4,3,2,1,1,6,7,6.5,1,30
48,2,2,4,1,7,7,6,6.5,2,30
24,2,2,4,2,7,5,7,6,2,30
7,7,7,1,1,3,5,7,6,1,30
42,5,5,3,4,7,7,6,6.5,2,30
2,7,4,2,5,6,5,7,6,1,30
58,4,3,3,2,3,6,7,6.5,2,30
45,5,4,2,6,7,7,7,7,2,30
32,4,4,3,5,7,5,7,6,1,30
55,2,2,3,5,7,6,7,6.5,2,30
17,7,7,2,5,5,6,7,6.5,1,30
64,5,7,3,6,7,6,7,6.5,2,30
19,4,4,2,1,3,6,7,6.5,2,30
28,4,7,3,2,6,7,7,7,1,30
72,4,7,2,6,6,7,7,7,1,30
63,5,6,3,2,2,5,6,5.5,2,30
36,6,6,3,1,4,7,7,7,2,30
69,5,7,1,7,7,5,7,6,2,30
62,5,3,3,4,4,5,7,6,1,30
44,4,7,2,1,6,6,7,6.5,1,30
3,7,7,2,6,7,7,7,7,1,30
13,4,6,3,1,2,6,6,6,2,30
41,7,7,2,1,3,6,7,6.5,1,30
56,2,6,2,1,1,5,7,6,2,30
39,6,2,3,1,4,7,7,7,1,30
68,2,4,4,2,6,5,7,6,1,30
38,3,6,2,5,5,6,7,6.5,2,30
37,7,3,2,6,3,6,7,6.5,2,30
59,5,7,3,5,5,5,7,6,1,30
8,5,7,2,2,4,5,6,5.5,1,30
21,2,3,3,1,2,6,6,6,2,30
66,4,5,3,2,6,7,7,7,1,30
50,5,6,2,2,7,5,7,6,2,30
23,5,5,2,4,7,6,7,6.5,2,30
43,6,7,2,1,4,5,7,6,1,30
9,5,7,3,1,7,7,7,7,1,30
74,4,4,4,5,7,6,7,6.5,2,30
76,4,5,3,1,1,7,7,7,0,30
51,4,6,3,5,7,5,7,6,0,30
27,3,3,3,6,7,6,7,6.5,0,30
