Condition,Frequency,sub,EventNumber
Context,1,36,41
Self,3,36,52
Context,2,36,5
Self,4,36,33
Self,1,36,39
Context,6,36,13
Context,1,36,76
Context,2,36,70
Self,2,36,75
Self,3,36,80
Context,5,36,73
Self,7,36,8
Context,1,36,78
Self,2,36,32
Self,7,36,17
Context,2,36,43
Self,3,36,31
Self,3,36,26
Context,1,36,53
Self,7,36,7
Context,2,36,11
Context,2,36,63
Context,4,36,10
Self,2,36,58
Self,4,36,30
Context,7,36,3
Self,3,36,23
Self,2,36,74
Context,3,36,9
Context,2,36,60
Self,3,36,34
Context,2,36,24
Self,2,36,51
Context,6,36,37
Context,6,36,14
Self,3,36,35
Context,1,36,27
Self,1,36,36
Context,4,36,2
Context,2,36,42
Self,4,36,22
Self,5,36,4
Context,1,36,69
Context,4,36,65
Context,1,36,49
Self,5,36,61
Self,3,36,66
Self,5,36,1
Context,2,36,46
Self,1,36,64
Context,1,36,79
Self,5,36,12
Self,2,36,68
Context,1,36,62
Context,1,36,59
Self,3,36,67
Self,2,36,71
Context,1,36,55
Self,3,36,15
Context,1,36,56
Context,2,36,54
Self,3,36,77
Self,4,36,19
Context,2,36,29
,,,20
,,,48
,,,21
