EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
41,6,5,2,6,6,6,7,6.5,2,36
52,6,7,3,7,7,6,7,6.5,1,36
5,6,7,3,5,4,6,7,6.5,2,36
33,5,4,3,6,6,5,7,6,1,36
39,5,5,3,6,7,7,7,7,1,36
13,5,5,3,5,6,7,7,7,2,36
76,6,5,3,5,6,7,7,7,2,36
70,6,5,3,6,7,6,7,6.5,2,36
75,4,5,3,6,7,5,7,6,1,36
80,5,5,3,6,6,7,7,7,1,36
73,5,4,2,6,6,6,7,6.5,2,36
8,6,7,1,7,5,7,7,7,1,36
78,4,5,3,6,6,7,7,7,2,36
32,6,5,3,5,6,7,7,7,1,36
17,5,6,1,6,5,5,7,6,1,36
43,6,5,3,5,6,5,7,6,2,36
31,5,5,3,7,7,7,7,7,1,36
26,5,5,2,7,5,6,7,6.5,1,36
53,6,5,4,6,6,6,7,6.5,2,36
7,5,7,1,7,6,7,7,7,1,36
11,5,5,4,5,6,7,7,7,2,36
63,6,6,3,6,6,6,7,6.5,2,36
10,3,6,3,5,7,7,6,6.5,2,36
58,5,5,4,5,6,7,5,6,1,36
30,6,6,3,6,7,7,7,7,1,36
3,5,7,1,6,6,7,7,7,2,36
23,7,6,3,5,5,7,7,7,1,36
74,5,6,3,6,6,7,7,7,1,36
9,4,5,3,5,6,6,7,6.5,2,36
60,6,5,3,6,5,5,7,6,2,36
34,5,5,3,5,7,6,7,6.5,1,36
24,6,6,4,6,6,7,7,7,2,36
51,5,6,3,5,5,7,6,6.5,1,36
37,6,6,1,6,4,6,7,6.5,2,36
14,6,6,1,2,7,7,7,7,2,36
35,6,5,2,6,5,5,7,6,1,36
27,6,5,4,6,7,7,7,7,2,36
36,5,5,3,6,6,7,7,7,1,36
2,6,7,2,6,6,7,6,6.5,2,36
42,6,6,3,5,7,7,7,7,2,36
22,5,5,2,7,7,7,7,7,1,36
4,5,6,2,7,7,7,7,7,1,36
69,5,4,4,5,3,5,7,6,2,36
65,6,5,2,6,6,7,7,7,2,36
49,6,5,3,6,7,6,7,6.5,2,36
61,6,5,3,5,2,5,7,6,1,36
66,5,4,3,5,5,7,7,7,1,36
1,7,7,1,7,6,7,7,7,1,36
46,6,7,3,5,3,5,7,6,2,36
64,5,6,3,5,6,7,7,7,1,36
79,5,6,4,5,4,6,7,6.5,2,36
12,2,6,3,5,5,7,7,7,1,36
68,4,5,3,5,6,5,7,6,1,36
62,6,6,3,6,5,7,7,7,2,36
59,5,5,3,6,7,7,7,7,2,36
67,5,6,2,6,3,5,7,6,1,36
71,6,5,3,7,6,5,7,6,1,36
55,6,5,3,6,7,5,7,6,2,36
15,5,5,3,5,5,7,7,7,1,36
56,5,5,4,5,5,6,7,6.5,2,36
54,5,6,3,5,6,7,7,7,2,36
77,5,6,3,6,6,6,7,6.5,1,36
19,7,7,2,7,7,7,7,7,1,36
29,6,5,3,5,4,6,7,6.5,2,36
20,7,7,3,6,6,7,7,7,0,36
48,6,6,2,6,5,5,7,6,0,36
21,6,6,4,6,6,7,7,7,0,36
