EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
61,6,5,3,5,2,5,7,4
25,5,6,4,5,6,4,4,3
57,5,6,3,6,6,2,2,3
6,4,5,1,6,7,5,6,2
16,6,5,2,7,7,5,5,2
17,5,6,1,6,5,5,7,2
33,5,4,3,6,6,5,7,2
35,6,5,2,6,5,5,7,2
43,6,5,3,5,6,5,7,2
45,6,6,2,6,4,3,5,2
46,6,7,3,5,3,5,7,2
48,6,6,2,6,5,5,7,2
55,6,5,3,6,7,5,7,2
58,5,5,4,5,6,7,5,2
60,6,5,3,6,5,5,7,2
67,5,6,2,6,3,5,7,2
68,4,5,3,5,6,5,7,2
69,5,4,4,5,3,5,7,2
71,6,5,3,7,6,5,7,2
75,4,5,3,6,7,5,7,2
2,6,7,2,6,6,7,6,1
5,6,7,3,5,4,6,7,1
9,4,5,3,5,6,6,7,1
10,3,6,3,5,7,7,6,1
26,5,5,2,7,5,6,7,1
28,6,5,3,6,6,6,5,1
29,6,5,3,5,4,6,7,1
34,5,5,3,5,7,6,7,1
37,6,6,1,6,4,6,7,1
38,6,7,3,5,6,5,6,1
41,6,5,2,6,6,6,7,1
47,5,4,4,6,6,3,4,1
49,6,5,3,6,7,6,7,1
51,5,6,3,5,5,7,6,1
52,6,7,3,7,7,6,7,1
53,6,5,4,6,6,6,7,1
56,5,5,4,5,5,6,7,1
63,6,6,3,6,6,6,7,1
70,6,5,3,6,7,6,7,1
73,5,4,2,6,6,6,7,1
77,5,6,3,6,6,6,7,1
79,5,6,4,5,4,6,7,1
1,7,7,1,7,6,7,7,0
3,5,7,1,6,6,7,7,0
4,5,6,2,7,7,7,7,0
7,5,7,1,7,6,7,7,0
8,6,7,1,7,5,7,7,0
11,5,5,4,5,6,7,7,0
12,2,6,3,5,5,7,7,0
13,5,5,3,5,6,7,7,0
14,6,6,1,2,7,7,7,0
15,5,5,3,5,5,7,7,0
18,6,6,4,5,6,6,6,0
19,7,7,2,7,7,7,7,0
20,7,7,3,6,6,7,7,0
21,6,6,4,6,6,7,7,0
22,5,5,2,7,7,7,7,0
23,7,6,3,5,5,7,7,0
24,6,6,4,6,6,7,7,0
27,6,5,4,6,7,7,7,0
30,6,6,3,6,7,7,7,0
31,5,5,3,7,7,7,7,0
32,6,5,3,5,6,7,7,0
36,5,5,3,6,6,7,7,0
39,5,5,3,6,7,7,7,0
40,5,4,3,5,5,5,5,0
42,6,6,3,5,7,7,7,0
44,5,5,4,6,6,6,6,0
50,6,6,3,6,6,5,5,0
54,5,6,3,5,6,7,7,0
59,5,5,3,6,7,7,7,0
62,6,6,3,6,5,7,7,0
64,5,6,3,5,6,7,7,0
65,6,5,2,6,6,7,7,0
66,5,4,3,5,5,7,7,0
72,5,4,3,6,5,5,5,0
74,5,6,3,6,6,7,7,0
76,6,5,3,5,6,7,7,0
78,4,5,3,6,6,7,7,0
80,5,5,3,6,6,7,7,0
