EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
14,6,7,2,6,2,4,7,5.5,2,10
61,3,5,3,2,1,5,6,5.5,1,10
42,2,2,2,6,6,6,5,5.5,2,10
77,5,3,3,5,6,5,5,5,1,10
41,3,2,3,5,7,6,7,6.5,1,10
19,5,6,1,6,3,7,6,6.5,2,10
78,5,3,2,7,5,5,7,6,2,10
80,6,7,3,5,7,6,5,5.5,2,10
43,2,6,3,6,5,5,3,4,1,10
64,7,5,2,6,4,6,6,6,1,10
31,6,5,2,6,3,5,6,5.5,2,10
17,1,1,2,5,3,7,7,7,1,10
52,5,4,2,5,6,6,6,6,2,10
27,7,4,3,6,7,6,7,6.5,1,10
53,2,3,2,5,6,5,5,5,1,10
55,5,5,1,7,2,4,5,4.5,2,10
24,4,3,3,5,7,6,7,6.5,1,10
33,5,7,2,7,1,5,6,5.5,1,10
51,6,7,1,7,4,4,6,5,2,10
16,3,5,2,5,2,7,7,7,1,10
60,4,5,3,4,4,5,7,6,2,10
74,4,2,3,5,4,6,5,5.5,2,10
47,4,3,2,4,7,5,6,5.5,2,10
66,4,5,3,5,1,3,5,4,1,10
22,3,2,3,6,3,7,6,6.5,1,10
6,7,7,1,7,2,7,7,7,2,10
18,4,5,3,6,3,6,7,6.5,1,10
54,5,4,2,5,7,7,5,6,1,10
46,4,3,2,6,5,5,6,5.5,2,10
50,5,3,1,7,2,3,5,4,2,10
76,2,1,3,5,6,4,7,5.5,1,10
75,5,2,3,4,6,5,7,6,2,10
38,2,1,3,7,5,5,6,5.5,1,10
12,7,7,3,3,6,6,6,6,2,10
56,5,6,2,6,7,7,7,7,2,10
71,3,2,2,7,2,5,5,5,1,10
5,3,3,3,5,4,6,6,6,2,10
30,1,2,3,6,6,6,7,6.5,1,10
26,6,6,1,7,6,5,6,5.5,2,10
49,2,2,3,4,4,6,7,6.5,2,10
3,5,5,3,6,3,7,7,7,1,10
79,6,6,2,7,7,7,7,7,1,10
45,5,4,3,6,2,4,4,4,2,10
11,4,4,3,6,5,7,7,7,2,10
23,3,7,3,6,1,6,5,5.5,2,10
67,5,6,3,4,7,5,5,5,1,10
44,6,6,2,6,3,5,7,6,1,10
1,7,7,1,7,5,7,7,7,1,10
34,5,7,3,4,1,4,5,4.5,2,10
40,4,2,2,6,7,5,7,6,1,10
32,6,5,2,6,4,5,5,5,2,10
59,2,4,3,5,5,7,7,7,1,10
73,5,7,1,6,1,4,4,4,1,10
36,2,2,2,6,1,5,7,6,2,10
4,7,4,1,7,4,5,7,6,2,10
28,6,6,3,4,3,5,5,5,1,10
7,2,3,3,1,3,5,3,4,1,10
48,2,2,3,6,4,4,5,4.5,2,10
62,6,7,2,6,4,7,6,6.5,1,10
68,3,6,2,6,3,6,4,5,2,10
70,5,5,3,5,6,6,7,6.5,2,10
8,1,2,4,5,3,5,6,5.5,1,10
10,3,2,3,5,1,7,7,7,1,10
57,3,2,2,5,2,5,6,5.5,2,10
15,3,2,3,5,7,6,7,6.5,0,10
63,2,1,3,7,3,4,6,5,0,10
69,2,4,3,5,6,5,7,6,0,10
