Condition,Frequency,sub,EventNumber
Context,,10,14
Self,,10,61
Context,,10,42
Self,,10,77
Self,,10,41
Context,,10,19
Context,,10,78
Context,,10,80
Self,,10,43
Self,,10,64
Context,,10,31
Self,,10,17
Context,,10,52
Self,,10,27
Self,,10,53
Context,,10,55
Self,,10,24
Self,,10,33
Context,,10,51
Self,,10,16
Context,,10,60
Context,,10,74
Context,,10,47
Self,,10,66
Self,,10,22
Context,,10,6
Self,,10,18
Self,,10,54
Context,,10,46
Context,,10,50
Self,,10,76
Context,,10,75
Self,,10,38
Context,,10,12
Context,,10,56
Self,,10,71
Context,,10,5
Self,,10,30
Context,,10,26
Context,,10,49
Self,,10,3
Self,,10,79
Context,,10,45
Context,,10,11
Context,,10,23
Self,,10,67
Self,,10,44
Self,,10,1
Context,,10,34
Self,,10,40
Context,,10,32
Self,,10,59
Self,,10,73
Context,,10,36
Context,,10,4
Self,,10,28
Self,,10,7
Context,,10,48
Self,,10,62
Context,,10,68
Context,,10,70
Self,,10,8
Self,,10,10
Context,,10,57
,,,15
,,,63
,,,69
