EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
15,3,2,3,5,7,6,7,5
58,1,1,3,5,1,1,3,5
65,2,1,2,6,2,2,4,5
33,5,7,2,7,1,5,6,4
10,3,2,3,5,1,7,7,3
14,6,7,2,6,2,4,7,3
25,7,7,1,7,1,1,4,3
76,2,1,3,5,6,4,7,3
2,7,7,7,1,1,3,5,2
4,7,4,1,7,4,5,7,2
7,2,3,3,1,3,5,3,2
13,5,2,2,6,2,1,3,2
36,2,2,2,6,1,5,7,2
39,2,1,3,5,2,4,2,2
40,4,2,2,6,7,5,7,2
43,2,6,3,6,5,5,3,2
44,6,6,2,6,3,5,7,2
50,5,3,1,7,2,3,5,2
51,6,7,1,7,4,4,6,2
54,5,4,2,5,7,7,5,2
60,4,5,3,4,4,5,7,2
63,2,1,3,7,3,4,6,2
66,4,5,3,5,1,3,5,2
68,3,6,2,6,3,6,4,2
69,2,4,3,5,6,5,7,2
75,5,2,3,4,6,5,7,2
78,5,3,2,7,5,5,7,2
8,1,2,4,5,3,5,6,1
18,4,5,3,6,3,6,7,1
19,5,6,1,6,3,7,6,1
20,2,1,3,5,6,4,3,1
21,2,1,3,3,7,3,2,1
22,3,2,3,6,3,7,6,1
23,3,7,3,6,1,6,5,1
24,4,3,3,5,7,6,7,1
26,6,6,1,7,6,5,6,1
27,7,4,3,6,7,6,7,1
29,5,3,2,5,3,4,3,1
30,1,2,3,6,6,6,7,1
31,6,5,2,6,3,5,6,1
34,5,7,3,4,1,4,5,1
35,2,2,3,5,2,3,4,1
38,2,1,3,7,5,5,6,1
41,3,2,3,5,7,6,7,1
42,2,2,2,6,6,6,5,1
46,4,3,2,6,5,5,6,1
47,4,3,2,4,7,5,6,1
48,2,2,3,6,4,4,5,1
49,2,2,3,4,4,6,7,1
55,5,5,1,7,2,4,5,1
57,3,2,2,5,2,5,6,1
61,3,5,3,2,1,5,6,1
62,6,7,2,6,4,7,6,1
70,5,5,3,5,6,6,7,1
72,4,5,1,6,1,1,2,1
74,4,2,3,5,4,6,5,1
80,6,7,3,5,7,6,5,1
1,7,7,1,7,5,7,7,0
3,5,5,3,6,3,7,7,0
5,3,3,3,5,4,6,6,0
6,7,7,1,7,2,7,7,0
9,2,2,3,5,3,3,3,0
11,4,4,3,6,5,7,7,0
12,7,7,3,3,6,6,6,0
16,3,5,2,5,2,7,7,0
17,1,1,2,5,3,7,7,0
28,6,6,3,4,3,5,5,0
32,6,5,2,6,4,5,5,0
37,2,2,3,4,3,1,1,0
45,5,4,3,6,2,4,4,0
52,5,4,2,5,6,6,6,0
53,2,3,2,5,6,5,5,0
56,5,6,2,6,7,7,7,0
59,2,4,3,5,5,7,7,0
64,7,5,2,6,4,6,6,0
67,5,6,3,4,7,5,5,0
71,3,2,2,7,2,5,5,0
73,5,7,1,6,1,4,4,0
77,5,3,3,5,6,5,5,0
79,6,6,2,7,7,7,7,0
