sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
8,1,1,2,8.040505,0.75,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/right3.jpg,task/Jitter/left2.jpg,[2 2 1],1,15.006709,50,16.126975,1.120266,21.02298,29.039106,1,29.555769,2,620649.6991,3,38.621833,2,620649.1781,2,34.088793,1,620648.865,42.638228
8,1,2,1,42.654912,0.75,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/left1.jpg,task/Jitter/right2.jpg,[1 1 2],1,48.82115,41,49.990011,1.168862,54.837392,62.853539,1,63.370201,3,620649.2313,2,67.90323,3,620648.7766,3,72.436282,3,620649.2384,76.452656
8,1,3,2,76.469347,0.75,3,0.75,task/Jitter/right3.jpg,task/Jitter/left1.jpg,NaN,[2 1],1,81.102364,77,83.254944,2.15258,87.118647,95.134784,1,95.668088,2,620649.3284,3,104.734141,2,620648.8014,2,100.201123,1,620649.0704,108.750542
8,1,4,1,108.767221,1.5,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/left3.jpg,task/Jitter/right1.jpg,[2 1 2],1,115.700087,24,117.515935,1.815848,121.716355,129.732477,1,130.249129,1,620648.8167,2,134.782173,1,620648.7355,3,139.315216,2,620648.9974,143.331596
8,1,5,1,143.34823,0.75,3,1.5,task/Jitter/left1.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,148.71459,59,150.707884,1.993294,154.730853,162.746985,3,172.329711,3,620648.714,1,163.263626,2,620649.0168,2,167.796675,2,620648.961,176.346084
8,1,6,2,176.362777,1.5,4.5,0.75,task/Jitter/right2.jpg,task/Jitter/right3.jpg,task/Jitter/right1.jpg,[2 2 2],1,183.29566,2,184.899893,1.604232,189.311928,197.328034,3,206.910772,3,620648.471,2,202.377729,2,620649.1899,1,197.844698,3,620649.323,210.927157
8,1,7,2,210.943828,0.75,3,0.75,task/Jitter/left3.jpg,task/Jitter/left2.jpg,NaN,[1 1],1,215.576866,78,217.889896,2.313029,221.593138,229.609263,1,230.125912,3,620648.8948,3,239.191977,2,620648.7428,2,234.65894,2,620648.4465,243.208375
8,1,8,2,243.225047,0.75,4.5,0.75,task/Jitter/right2.jpg,task/Jitter/right3.jpg,task/Jitter/right3.jpg,[2 2 2],1,249.391306,3,250.957944,1.566639,255.407571,263.423693,1,263.940357,2,620649.4904,2,268.473376,2,620650.0013,3,273.006422,1,620649.8334,277.022812
8,1,9,1,277.039504,1.5,4.5,0.75,task/Jitter/left2.jpg,task/Jitter/right1.jpg,task/Jitter/right2.jpg,[1 2 2],1,283.972358,47,285.87387,1.901512,289.98863,298.004759,3,307.587479,2,620650.0241,2,303.05445,3,620649.0473,1,298.521414,2,620648.9323,311.60387
8,1,10,1,311.620547,1.5,3,0.75,task/Jitter/right3.jpg,task/Jitter/left1.jpg,NaN,[2 1],1,317.003549,8,318.641897,1.638348,323.019797,331.035918,2,336.085621,3,620649.0741,3,340.61865,4,620648.804,1,331.552586,3,620649.0969,344.635021
8,1,11,2,344.651722,1.5,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/right1.jpg,task/Jitter/right3.jpg,[2 2 2],1,352.317874,37,354.00787,1.689996,358.334159,366.350253,2,371.399971,3,620648.6427,3,375.932987,1,620648.8457,1,366.866913,3,620649.3388,379.9494
8,1,12,1,379.966063,0.75,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/left1.jpg,task/Jitter/left3.jpg,[1 1 1],1,386.165648,4,387.586818,1.42117,392.181936,400.19803,3,409.780761,2,620648.7678,2,405.247743,3,620648.5067,1,400.714692,4,620648.721,413.797146
8,1,13,2,413.813837,1.5,3,1.5,task/Jitter/left1.jpg,task/Jitter/left2.jpg,NaN,[1 1],1,419.946785,6,421.22185,1.275065,425.96304,433.979166,2,439.028856,2,620648.8206,1,434.49583,3,620648.9228,3,443.561897,3,620649.5047,447.578279
8,1,14,1,447.594894,1.5,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/left2.jpg,task/Jitter/right1.jpg,[2 1 2],1,455.277794,48,456.708787,1.430993,461.294051,469.31017,2,474.359875,4,620649.1597,1,469.826827,3,620648.9566,3,478.892892,3,620649.5478,482.909276
8,1,15,1,482.925942,0.75,3,1.5,task/Jitter/left2.jpg,task/Jitter/right3.jpg,NaN,[1 2],1,488.325625,13,489.348871,1.023246,494.341887,502.35801,3,511.940729,4,620648.785,1,502.87466,4,620648.447,2,507.407714,3,620649.2638,515.957125
8,1,16,2,515.973811,0.75,3,1.5,task/Jitter/left2.jpg,task/Jitter/left2.jpg,NaN,[1 1],1,521.340125,58,522.847876,1.507751,527.356385,535.372502,2,540.422199,2,620649.5464,1,535.889172,1,620649.0682,3,544.955231,2,620648.9452,548.971613
