Condition,Frequency,sub,EventNumber
Context,2,24,71
Self,7,24,8
Context,2,24,69
Self,2,24,2
Self,2,24,57
Context,1,24,64
Context,1,24,51
Context,1,24,53
Self,1,24,12
Self,5,24,79
Context,1,24,3
Self,7,24,36
Context,1,24,67
Self,1,24,45
Self,3,24,50
Context,1,24,46
Self,1,24,44
Self,1,24,70
Context,1,24,73
Self,7,24,32
Context,1,24,30
Context,3,24,29
Context,1,24,5
Self,5,24,24
Self,4,24,33
Context,1,24,28
Self,7,24,22
Self,3,24,10
Context,7,24,23
Context,1,24,13
Self,2,24,52
Context,1,24,48
Self,3,24,59
Context,1,24,58
Context,1,24,9
Self,1,24,40
Context,1,24,55
Self,6,24,54
Context,1,24,63
Context,1,24,75
Self,4,24,34
Self,3,24,27
Context,1,24,25
Context,1,24,39
Context,2,24,56
Self,3,24,1
Self,1,24,41
Self,1,24,6
Context,1,24,11
Self,7,24,66
Context,1,24,72
Self,7,24,42
Self,4,24,14
Context,1,24,49
Context,4,24,47
Self,2,24,17
Self,1,24,15
Context,6,24,20
Self,7,24,65
Context,1,24,4
Context,1,24,43
Self,1,24,68
Self,4,24,31
Context,1,24,37
,,,76
,,,80
,,,38
