EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
71,2,2,3,5,6,6,7,6.5,2,24
8,4,6,4,2,6,6,6,6,1,24
69,6,5,4,5,4,6,7,6.5,2,24
2,1,4,3,1,2,5,4,4.5,1,24
57,1,4,3,3,6,7,7,7,1,24
64,1,2,2,6,6,7,7,7,2,24
51,2,5,2,6,6,6,7,6.5,2,24
53,3,2,4,1,6,5,7,6,2,24
12,3,6,4,1,6,4,4,4,1,24
79,2,1,2,6,5,6,7,6.5,1,24
3,6,6,4,5,3,7,6,6.5,2,24
36,5,7,1,7,6,7,7,7,1,24
67,5,7,2,5,3,7,6,6.5,2,24
45,6,2,3,7,6,7,7,7,1,24
50,3,2,2,6,2,6,4,5,1,24
46,6,3,3,2,2,5,4,4.5,2,24
44,5,2,3,3,6,7,7,7,1,24
70,2,2,3,2,4,7,6,6.5,1,24
73,4,6,2,6,3,5,6,5.5,2,24
32,5,7,1,7,6,7,7,7,1,24
30,6,7,3,2,5,6,7,6.5,2,24
29,6,7,4,6,6,5,7,6,2,24
5,6,5,2,4,6,5,7,6,2,24
24,2,4,4,2,6,4,4,4,1,24
33,6,7,3,7,6,7,7,7,1,24
28,2,7,1,7,5,7,7,7,2,24
22,6,7,3,7,6,7,7,7,1,24
10,6,7,2,5,6,6,7,6.5,1,24
23,6,7,1,7,6,5,7,6,2,24
13,3,6,3,1,4,4,4,4,2,24
52,1,3,3,6,4,5,7,6,1,24
48,4,3,3,6,6,6,7,6.5,2,24
59,1,4,3,3,6,7,5,6,1,24
58,1,4,3,3,6,7,6,6.5,2,24
9,3,6,2,7,6,7,7,7,2,24
40,5,5,3,2,3,5,5,5,1,24
55,2,7,3,5,6,7,6,6.5,2,24
54,2,7,3,5,6,7,7,7,1,24
63,2,4,3,4,5,6,7,6.5,2,24
75,2,4,3,6,4,7,7,7,2,24
34,4,7,2,6,6,7,7,7,1,24
27,2,7,2,7,5,7,7,7,1,24
25,1,3,4,2,5,4,4,4,2,24
39,1,6,2,1,4,7,7,7,2,24
56,2,7,3,5,6,7,5,6,2,24
1,1,4,3,4,4,5,4,4.5,1,24
41,4,7,1,5,6,7,6,6.5,1,24
6,4,3,1,3,6,7,7,7,1,24
11,6,7,4,3,6,5,4,4.5,2,24
66,6,5,4,6,6,7,7,7,1,24
72,1,3,4,1,3,6,5,5.5,2,24
42,6,7,2,7,6,7,7,7,1,24
14,3,6,3,1,4,4,4,4,1,24
49,6,7,4,1,6,7,7,7,2,24
47,5,3,4,7,6,7,7,7,2,24
17,4,7,4,1,1,6,4,5,1,24
15,1,4,3,1,4,4,4,4,1,24
20,6,7,1,1,1,4,4,4,2,24
65,4,6,2,7,6,7,7,7,1,24
4,4,4,4,3,2,6,5,5.5,2,24
43,2,5,4,5,6,7,7,7,2,24
68,3,6,2,2,3,6,5,5.5,1,24
31,6,7,2,6,5,7,7,7,1,24
37,5,7,2,2,2,7,5,6,2,24
76,2,2,2,5,5,7,7,7,0,24
80,3,1,3,5,5,4,6,5,0,24
38,2,5,3,2,5,7,6,6.5,0,24
