sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
3,2,1,1,8.038332,0.75,3,0.75,task/Jitter/left1.jpg,task/Jitter/left3.jpg,NaN,[1 1],1,12.671411,27,13.705932,1.034521,18.687665,26.703777,2,31.753481,3,289455.0313,1,27.220442,4,289453.6165,3,36.286514,3,289454.0635,40.302912
3,2,2,1,40.319541,1.5,4.5,0.75,task/Jitter/left3.jpg,task/Jitter/left1.jpg,task/Jitter/left3.jpg,[1 1 1],1,47.235813,54,48.9149,1.679087,53.25207,61.268185,2,66.317876,4,289452.6411,3,70.850919,2,289454.0311,1,61.784852,4,289453.197,74.867297
3,2,3,2,74.883992,1.5,3,0.75,task/Jitter/left1.jpg,task/Jitter/left3.jpg,NaN,[1 1],1,80.266957,59,81.321859,1.054901,86.283239,94.299363,2,99.349039,1,289455.2877,1,94.816003,2,289455.3137,3,103.882089,2,289452.9519,107.89847
3,2,4,1,107.915158,0.75,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/left3.jpg,task/Jitter/left3.jpg,[2 1 1],1,114.83137,18,115.718808,0.887438,120.847632,128.863748,2,133.91344,4,289454.1206,1,129.380418,3,289454.9693,3,138.44648,4,289454.3812,142.462875
3,2,5,2,142.479495,1.5,3,1.5,task/Jitter/left1.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,148.612477,66,149.624772,1.012295,154.628751,162.644883,2,167.694569,4,289455.0321,3,172.227604,3,289453.4453,1,163.161535,4,289453.5124,176.243981
3,2,6,2,176.260667,1.5,3,1.5,task/Jitter/left1.jpg,task/Jitter/right3.jpg,NaN,[1 2],1,182.393604,76,188.045803,5.6522,188.409871,196.426011,3,206.008715,4,289452.808,1,196.942652,2,289455.0772,2,201.475684,4,289453.9842,210.025102
3,2,7,2,210.041778,0.75,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/left3.jpg,task/Jitter/right2.jpg,[2 1 2],1,216.957993,50,217.852842,0.894849,222.974272,230.990382,2,236.040083,4,289453.5867,1,231.507048,3,289454.8329,3,240.573104,3,289454.4136,244.589503
3,2,8,1,244.606143,0.75,4.5,1.5,task/Jitter/right1.jpg,task/Jitter/left1.jpg,task/Jitter/right3.jpg,[0 1 2],0.666667,251.539048,14,254.396746,2.857698,257.555332,265.571448,3,275.154168,3,289455.5977,2,270.621131,2,289455.8816,1,266.0881,4,289455.0518,279.170569
3,2,9,1,279.187238,1.5,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/left1.jpg,task/Jitter/left2.jpg,[2 1 1],1,286.870081,12,292.279776,5.409695,292.886313,300.902462,2,305.952148,2,289455.3127,1,301.419133,2,289453.6876,3,310.485199,,,314.501589
3,2,10,2,314.518255,0.75,3,0.75,task/Jitter/right1.jpg,task/Jitter/left1.jpg,NaN,[2 1],1,319.167959,3,320.265777,1.097818,325.18423,333.200326,3,342.783067,2,289453.9249,1,333.716989,3,289454.8427,2,338.25004,1,289453.2356,346.799458
3,2,11,1,346.816133,1.5,3,0.75,task/Jitter/right1.jpg,task/Jitter/left1.jpg,NaN,[0 0],0,352.199126,17,354.246807,2.04768,358.215357,366.23152,2,371.2812,3,289453.5835,1,366.748163,,,3,375.814226,1,289453.1738,379.830622
3,2,12,1,379.847299,0.75,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/right1.jpg,task/Jitter/left2.jpg,[1 2 1],1,386.030223,37,386.658771,0.628548,392.046475,400.062629,1,400.57927,2,289453.8964,3,409.645355,3,289453.0763,2,405.112321,2,289454.2375,413.661729
3,2,13,2,413.678429,0.75,4.5,0.75,task/Jitter/left3.jpg,task/Jitter/left3.jpg,task/Jitter/right2.jpg,[1 1 2],1,419.844674,35,424.592747,4.748073,425.860946,433.877088,2,438.92677,3,289454.1229,3,443.459804,2,289455.3361,1,434.393739,1,289455.4331,447.47618
3,2,14,2,447.492865,1.5,3,1.5,task/Jitter/right3.jpg,task/Jitter/right3.jpg,NaN,[2 2],1,453.60914,73,456.660702,3.051561,459.625398,467.641522,1,468.158172,,,2,472.691204,,,3,477.224242,2,289452.9015,481.240647
3,2,15,1,481.257321,1.5,3,1.5,task/Jitter/left2.jpg,task/Jitter/left3.jpg,NaN,[1 1],1,487.390259,58,488.942765,1.552506,493.406533,501.422646,2,506.472331,4,289454.2714,1,501.939303,3,289454.3536,3,511.005362,4,289454.2452,515.021754
3,2,16,2,515.038442,0.75,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/right2.jpg,task/Jitter/right2.jpg,[0 2 2],0.666667,521.204708,19,523.07376,1.869052,527.220969,535.237099,1,535.753734,2,289454.7501,3,544.819819,2,289453.637,2,540.286774,,,548.83621
