sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
3,3,1,1,8.041773,0.75,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/right3.jpg,task/Jitter/right3.jpg,[2 2 2],1,14.20808,45,15.420926,1.212846,20.224365,28.240447,1,28.757138,4,290130.3127,3,37.823197,3,290129.5576,2,33.290162,4,290131.2126,41.839577
3,3,2,2,41.856273,1.5,3,1.5,task/Jitter/right1.jpg,task/Jitter/right3.jpg,NaN,[0 2],0.5,47.989195,41,49.347913,1.358718,54.005477,62.021589,1,62.538239,3,290130.9463,3,71.604325,2,290131.8362,2,67.071288,3,290131.7546,75.620713
3,3,3,2,75.637384,0.75,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/left2.jpg,task/Jitter/left1.jpg,[0 1 1],0.666667,82.570269,40,83.446858,0.876589,88.586522,96.602661,1,97.119313,4,290131.0872,3,106.185393,2,290130.9281,2,101.652358,3,290131.3214,110.201759
3,3,4,1,110.218453,0.75,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/left2.jpg,task/Jitter/left2.jpg,[1 1 1],1,117.134673,47,118.559876,1.425203,123.150959,131.167047,3,140.749793,4,290130.1199,2,136.216738,2,290130.713,1,131.683698,1,290131.555,144.766177
3,3,5,2,144.782863,0.75,3,1.5,task/Jitter/left1.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,150.149176,80,155.729843,5.580667,156.165432,164.181561,1,164.698204,4,290130.3326,2,169.231239,3,290130.5096,3,173.764308,4,290131.2424,177.780659
3,3,6,1,177.797303,1.5,3,0.75,task/Jitter/left2.jpg,task/Jitter/right3.jpg,NaN,[1 2],1,183.180342,7,184.153844,0.973502,189.196612,197.212737,3,206.795448,2,290131.6082,2,202.262399,2,290130.3284,1,197.729369,1,290132.3864,210.811843
3,3,7,2,210.828478,1.5,3,1.5,task/Jitter/left2.jpg,task/Jitter/left3.jpg,NaN,[1 1],1,216.97813,29,218.573857,1.595727,222.994389,231.010522,2,236.060207,3,290131.2795,3,240.593231,3,290131.8686,1,231.527168,4,290131.6963,244.609599
3,3,8,2,244.626239,1.5,4.5,1.5,task/Jitter/left3.jpg,task/Jitter/right3.jpg,task/Jitter/left2.jpg,[1 2 1],1,252.309123,39,252.993857,0.684734,258.32539,266.341508,2,271.391199,3,290131.7215,1,266.858173,2,290132.1057,3,275.924236,3,290131.9145,279.940637
3,3,9,1,279.957316,1.5,3,0.75,task/Jitter/right3.jpg,task/Jitter/left3.jpg,NaN,[0 1],0.5,285.3403,77,287.380832,2.040532,291.356557,299.372681,1,299.889338,3,290130.4563,2,304.422366,4,290131.2522,3,308.955404,4,290131.1304,312.971788
3,3,10,1,312.988486,0.75,3,1.5,task/Jitter/right1.jpg,task/Jitter/left2.jpg,NaN,[2 1],1,318.37145,46,319.190789,0.819339,324.387736,332.403847,2,337.453549,4,290130.9062,1,332.920501,2,290132.1063,3,341.986569,4,290130.4762,346.002957
3,3,11,2,346.019635,0.75,3,0.75,task/Jitter/left3.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,350.652668,21,352.509754,1.857087,356.66894,364.685067,1,365.201718,3,290132.0999,2,369.734746,2,290130.8039,3,374.267785,2,290131.6997,378.284171
3,3,12,2,378.300809,1.5,3,0.75,task/Jitter/right1.jpg,task/Jitter/left1.jpg,NaN,[2 1],1,383.683833,38,387.33374,3.649907,389.700107,397.716237,3,407.29895,4,290132.3445,1,398.232909,2,290132.3208,2,402.765929,4,290131.1688,411.315334
3,3,13,2,411.331977,0.75,3,1.5,task/Jitter/right1.jpg,task/Jitter/right2.jpg,NaN,[2 2],1,416.714994,4,420.045756,3.330762,422.731282,430.747402,2,435.797079,2,290130.3066,3,440.33011,3,290130.1074,1,431.26404,,,444.3465
3,3,14,1,444.363182,0.75,3,1.5,task/Jitter/right2.jpg,task/Jitter/left3.jpg,NaN,[0 0],0,449.746161,34,451.287733,1.541572,455.762415,463.778588,1,464.295222,3,290132.0082,3,473.361286,1,290129.9134,2,468.828244,,,477.377685
3,3,15,1,477.394353,0.75,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/left3.jpg,task/Jitter/left1.jpg,[2 1 1],1,484.32723,28,485.253768,0.926537,490.34351,498.359617,1,498.876273,4,290130.0614,2,503.409323,4,290131.3891,3,507.942354,3,290131.4353,511.958745
3,3,16,1,511.975431,1.5,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/left3.jpg,task/Jitter/right2.jpg,[2 1 2],1,519.641592,10,520.50372,0.862129,525.657867,533.673964,3,543.256689,4,290129.7949,1,534.190621,3,290131.683,2,538.723651,4,290130.8037,547.273082
