EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
10,2,3,2,3,4,7,7,4
15,3,2,4,2,2,7,7,4
17,3,4,2,1,3,6,7,4
20,6,6,2,1,1,6,4,4
24,2,3,3,1,1,3,3,4
25,5,5,2,1,2,3,2,4
74,3,2,3,2,2,7,7,4
77,3,2,3,2,2,7,7,4
3,6,4,2,2,5,7,7,3
4,7,6,3,2,1,6,5,3
12,3,3,2,1,6,6,7,3
18,2,1,2,1,3,7,7,3
27,7,7,2,3,2,7,6,3
33,4,5,4,2,4,5,5,3
43,7,7,1,1,1,6,5,3
55,3,3,4,2,2,7,7,3
59,5,4,3,1,1,5,5,3
71,3,2,2,2,1,7,7,3
75,7,6,2,2,3,6,5,3
78,2,2,2,2,1,1,1,3
6,3,4,2,1,3,7,5,2
11,6,5,4,2,5,3,5,2
13,3,4,2,1,3,2,4,2
14,2,3,3,1,2,3,5,2
16,5,4,2,1,1,4,2,2
19,3,4,2,1,1,5,7,2
21,3,2,3,2,4,5,3,2
29,7,7,3,2,3,5,7,2
34,5,6,4,3,4,6,4,2
42,2,2,4,3,4,4,6,2
54,6,5,3,3,2,5,7,2
68,3,2,3,1,2,4,6,2
80,6,5,2,4,4,5,7,2
5,5,4,2,2,6,6,7,1
7,2,3,2,1,4,6,7,1
8,6,5,3,3,1,7,6,1
9,4,4,3,1,2,6,7,1
22,2,2,4,1,3,6,7,1
23,3,2,2,3,2,6,7,1
26,3,2,4,1,1,4,3,1
28,6,5,3,1,2,6,7,1
30,6,7,2,1,2,5,4,1
32,5,5,4,1,3,4,3,1
35,4,3,2,1,3,5,6,1
36,6,5,2,2,1,4,5,1
37,5,4,3,2,4,7,6,1
39,5,6,2,6,6,6,7,1
44,7,6,4,1,1,5,6,1
45,6,5,3,4,2,5,6,1
48,3,2,4,1,1,4,5,1
49,4,4,3,1,1,3,4,1
50,2,3,2,4,4,5,6,1
53,4,5,4,1,1,5,4,1
56,2,3,2,1,1,5,6,1
57,3,4,4,3,1,6,7,1
58,3,3,2,2,1,5,6,1
60,2,2,3,1,3,3,4,1
62,2,3,3,1,1,5,6,1
64,3,2,3,2,3,6,7,1
66,2,2,4,1,1,6,7,1
70,5,5,2,3,3,6,7,1
72,2,2,3,2,3,4,5,1
73,3,3,2,1,1,4,5,1
76,6,6,3,1,1,6,5,1
79,5,5,2,3,2,6,7,1
1,6,5,4,2,4,4,4,0
2,4,6,3,3,1,5,5,0
31,5,6,3,1,1,5,5,0
38,7,6,3,5,4,7,7,0
40,7,7,2,4,5,7,7,0
41,3,4,2,3,4,6,6,0
46,7,7,2,4,4,7,7,0
47,7,7,3,1,1,5,5,0
51,2,3,4,2,5,5,5,0
52,1,2,3,1,2,4,4,0
61,3,3,3,3,2,5,5,0
63,1,2,3,2,3,4,4,0
65,2,1,3,3,4,6,6,0
67,1,2,3,3,2,7,7,0
69,7,6,3,1,1,7,7,0
