EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
65,2,1,3,3,4,6,6,6,2,3
62,2,3,3,1,1,5,6,5.5,1,3
75,7,6,2,2,3,6,5,5.5,2,3
42,2,2,4,3,4,4,6,5,1,3
23,3,2,2,3,2,6,7,6.5,1,3
69,7,6,3,1,1,7,7,7,2,3
64,3,2,3,2,3,6,7,6.5,2,3
44,7,6,4,1,1,5,6,5.5,2,3
53,4,5,4,1,1,5,4,4.5,1,3
57,3,4,4,3,1,6,7,6.5,1,3
43,7,7,1,1,1,6,5,5.5,2,3
71,3,2,2,2,1,7,7,7,1,3
22,2,2,4,1,3,6,7,6.5,2,3
5,5,4,2,2,6,6,7,6.5,1,3
31,5,6,3,1,1,5,5,5,1,3
51,2,3,4,2,5,5,5,5,2,3
27,7,7,2,3,2,7,6,6.5,1,3
54,6,5,3,3,2,5,7,6,1,3
59,5,4,3,1,1,5,5,5,2,3
18,2,1,2,1,3,7,7,7,1,3
66,2,2,4,1,1,6,7,6.5,2,3
76,6,6,3,1,1,6,5,5.5,2,3
50,2,3,2,4,4,5,6,5.5,2,3
14,2,3,3,1,2,3,5,4,1,3
12,3,3,2,1,6,6,7,6.5,1,3
3,6,4,2,2,5,7,7,7,2,3
17,3,4,2,1,3,6,7,6.5,1,3
37,5,4,3,2,4,7,6,6.5,1,3
35,4,3,2,1,3,5,6,5.5,2,3
73,3,3,2,1,1,4,5,4.5,2,3
58,3,3,2,2,1,5,6,5.5,1,3
19,3,4,2,1,1,5,7,6,2,3
45,6,5,3,4,2,5,6,5.5,1,3
41,3,4,2,3,4,6,6,6,2,3
40,7,7,2,4,5,7,7,7,2,3
47,7,7,3,1,1,5,5,5,1,3
80,6,5,2,4,4,5,7,6,2,3
7,2,3,2,1,4,6,7,6.5,1,3
29,7,7,3,2,3,5,7,6,2,3
39,5,6,2,6,6,6,7,6.5,2,3
77,3,2,3,2,2,7,7,7,1,3
46,7,7,2,4,4,7,7,7,1,3
21,3,2,3,2,4,5,3,4,2,3
38,7,6,3,5,4,7,7,7,2,3
4,7,6,3,2,1,6,5,5.5,2,3
34,5,6,4,3,4,6,4,5,1,3
28,6,5,3,1,2,6,7,6.5,1,3
10,2,3,2,3,4,7,7,7,1,3
30,6,7,2,1,2,5,4,4.5,2,3
9,4,4,3,1,2,6,7,6.5,1,3
2,4,6,3,3,1,5,5,5,2,3
67,1,2,3,3,2,7,7,7,1,3
72,2,2,3,2,3,4,5,4.5,1,3
8,6,5,3,3,1,7,6,6.5,2,3
79,5,5,2,3,2,6,7,6.5,2,3
33,4,5,4,2,4,5,5,5,1,3
48,3,2,4,1,1,4,5,4.5,1,3
36,6,5,2,2,1,4,5,4.5,2,3
15,3,2,4,2,2,7,7,7,1,3
68,3,2,3,1,2,4,6,5,2,3
70,5,5,2,3,3,6,7,6.5,2,3
20,6,6,2,1,1,6,4,5,1,3
74,3,2,3,2,2,7,7,7,1,3
56,2,3,2,1,1,5,6,5.5,2,3
55,3,3,4,2,2,7,7,7,0,3
61,3,3,3,3,2,5,5,5,0,3
6,3,4,2,1,3,7,5,6,0,3
