Condition,Frequency,sub,EventNumber
Context,2,3,65
Self,1,3,62
Context,1,3,75
Self,5,3,42
Self,6,3,23
Context,3,3,69
Context,1,3,64
Context,4,3,44
Self,1,3,53
Self,2,3,57
Context,5,3,43
Self,6,3,71
Context,2,3,22
Self,6,3,5
Self,1,3,31
Context,1,3,51
Self,3,3,27
Self,2,3,54
Context,4,3,59
Self,2,3,18
Context,2,3,66
Context,1,3,76
Context,4,3,50
Self,1,3,14
Self,6,3,12
Context,2,3,3
Self,3,3,17
Self,4,3,37
Context,1,3,35
Context,1,3,73
Self,1,3,58
Context,5,3,19
Self,3,3,45
Context,2,3,41
Context,2,3,40
Self,1,3,47
Context,6,3,80
Self,2,3,7
Context,5,3,29
Context,4,3,39
Self,1,3,77
Self,5,3,46
Context,4,3,21
Context,2,3,38
Context,4,3,4
Self,1,3,34
Self,1,3,28
Self,1,3,10
Context,3,3,30
Self,2,3,9
Context,6,3,2
Self,1,3,67
Self,1,3,72
Context,5,3,8
Context,2,3,79
Self,2,3,33
Self,4,3,48
Context,1,3,36
Self,1,3,15
Context,1,3,68
Context,2,3,70
Self,5,3,20
Self,1,3,74
Context,1,3,56
,,,55
,,,61
,,,6
