sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
34,1,1,2,8.049279,1.5,4.5,0.75,task/Jitter/left2.jpg,task/Jitter/left3.jpg,task/Jitter/left2.jpg,[1 1 1],1,15.015506,59,18.83658,3.821073,21.031737,29.047897,2,34.097608,4,182233.1683,3,38.630649,2,182232.5229,1,29.564572,3,182233.6332,42.647048
34,1,2,1,42.663721,0.75,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/left2.jpg,task/Jitter/left1.jpg,[2 1 1],1,49.596613,72,52.639557,3.042944,55.612899,63.629001,2,68.678715,2,182233.9942,3,73.211747,4,182232.9251,1,64.145669,2,182233.7931,77.228147
34,1,3,2,77.244829,0.75,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/left1.jpg,task/Jitter/right1.jpg,[1 1 2],1,84.177722,37,88.03763,3.859908,90.194002,98.210105,3,107.792862,4,182233.6868,2,103.259831,,,1,98.726785,3,182234.236,111.809258
34,1,4,1,111.82589,0.75,4.5,0.75,task/Jitter/left3.jpg,task/Jitter/left1.jpg,task/Jitter/right3.jpg,[1 1 2],1,118.008872,44,,,124.02511,132.041279,1,132.557939,3,182233.924,3,141.62401,3,182233.8439,2,137.090969,4,182233.0688,145.640403
34,1,5,1,145.657083,1.5,3,1.5,task/Jitter/left1.jpg,task/Jitter/left3.jpg,NaN,[1 1],1,151.806688,16,157.345782,5.539095,157.822965,165.839107,2,170.888805,2,182233.7902,1,166.355764,3,182233.1542,3,175.421834,3,182233.6842,179.438232
34,1,6,2,179.454871,1.5,4.5,0.75,task/Jitter/left2.jpg,task/Jitter/left3.jpg,task/Jitter/right1.jpg,[1 1 2],1,186.387802,33,191.431755,5.043953,192.404088,200.420215,2,205.46992,2,182233.3351,1,200.936877,1,182232.8389,3,210.002961,3,182233.3329,214.019346
34,1,7,2,214.036,1.5,3,0.75,task/Jitter/left1.jpg,task/Jitter/right3.jpg,NaN,[1 2],1,219.419017,76,225.027846,5.608829,225.435297,233.451439,2,238.501112,4,182233.8109,3,243.03415,1,182232.9029,1,233.968083,3,182232.643,247.050556
34,1,8,2,247.067233,1.5,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/left3.jpg,task/Jitter/left1.jpg,[2 1 1],1,254.750073,15,259.640858,4.890786,260.766326,268.782478,3,278.365216,3,182233.3198,2,273.832185,1,182233.1327,1,269.299137,,,282.381622
34,1,9,1,282.398298,1.5,4.5,1.5,task/Jitter/left2.jpg,task/Jitter/right1.jpg,task/Jitter/right1.jpg,[1 2 2],1,290.064475,79,295.745926,5.681451,296.080696,304.096869,1,304.613542,3,182232.8245,3,313.679611,2,182232.0963,2,309.146571,4,182233.0865,317.696025
34,1,10,1,317.712687,1.5,3,0.75,task/Jitter/right3.jpg,task/Jitter/right3.jpg,NaN,[2 2],1,323.095685,71,,,329.111957,337.1281,2,342.177788,3,182233.7724,1,337.644748,4,182232.6814,3,346.710841,4,182233.3343,350.72723
34,1,11,2,350.743902,0.75,4.5,1.5,task/Jitter/right1.jpg,task/Jitter/left3.jpg,task/Jitter/left1.jpg,[2 1 1],1,357.676785,1,362.781978,5.105194,363.693027,371.709208,3,381.291948,2,182233.7733,1,372.225858,1,182233.2933,2,376.758907,3,182233.5853,385.308346
34,1,12,1,385.32502,1.5,3,0.75,task/Jitter/left1.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,390.708004,47,395.663066,4.955063,396.724283,404.740423,3,414.323151,4,182232.5359,2,409.790113,3,182232.4932,1,405.25709,2,182233.5171,418.339544
34,1,13,2,418.356238,1.5,3,0.75,task/Jitter/left2.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,423.739213,40,427.677062,3.937849,429.755511,437.771647,1,438.288291,3,182233.1969,2,442.821318,2,182233.579,3,447.354369,4,182233.8638,451.370764
34,1,14,1,451.387434,1.5,4.5,1.5,task/Jitter/left3.jpg,task/Jitter/left2.jpg,task/Jitter/right3.jpg,[1 1 2],1,459.070277,70,463.875135,4.804858,465.086562,473.102696,2,478.152396,4,182232.0029,1,473.619351,4,182232.335,3,482.685435,4,182232.384,486.701839
34,1,15,1,486.718513,0.75,3,1.5,task/Jitter/right3.jpg,task/Jitter/right1.jpg,NaN,[2 2],1,492.101497,10,,,498.117771,506.133927,2,511.18361,2,182233.8258,1,506.650569,3,182233.4927,3,515.716651,3,182233.8068,519.733043
34,1,16,2,519.749717,1.5,3,1.5,task/Jitter/left3.jpg,task/Jitter/right3.jpg,NaN,[1 2],1,525.882656,24,530.5323,4.649644,531.898953,539.915092,3,549.497814,,,2,544.964772,1,182232.8027,1,540.431729,4,182233.6436,553.514185
