EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
24,4,4,2,2,1,5,3,4
46,4,4,1,2,1,5,3,4
77,5,4,2,4,3,4,3,4
25,3,3,2,2,1,5,5,3
44,6,5,1,2,1,4,4,3
50,4,4,1,3,2,5,5,3
70,3,4,3,1,1,1,1,3
73,5,5,2,2,2,4,2,3
1,5,4,1,4,2,5,7,2
3,7,5,1,5,5,5,7,2
12,7,5,2,2,1,6,4,2
17,4,3,1,3,6,5,7,2
18,5,3,2,2,2,7,5,2
40,5,4,2,2,1,6,4,2
41,5,3,2,2,1,5,3,2
42,3,3,2,2,1,6,4,2
49,2,4,2,3,3,6,4,2
67,3,4,2,3,1,6,4,2
68,3,1,2,2,2,6,4,2
72,5,4,1,6,6,5,7,2
76,3,3,1,2,2,6,4,2
2,4,2,2,2,1,4,5,1
4,6,6,1,4,2,7,6,1
6,5,4,1,3,2,6,5,1
7,3,3,2,1,4,4,5,1
14,4,2,3,2,1,6,5,1
19,4,2,3,3,5,6,7,1
22,3,2,3,4,7,6,7,1
23,4,2,2,6,7,6,7,1
26,5,4,2,3,5,6,7,1
31,4,4,1,3,2,5,4,1
32,3,3,1,3,3,4,3,1
34,3,1,2,4,2,5,4,1
37,3,2,2,4,4,6,7,1
38,3,3,2,3,3,6,5,1
39,2,1,3,5,6,6,7,1
43,5,2,2,4,3,7,6,1
45,5,5,1,3,2,6,5,1
47,3,4,2,5,5,5,6,1
48,3,2,2,4,5,6,7,1
51,4,3,2,5,6,6,7,1
52,5,3,1,5,3,5,6,1
58,2,1,3,2,4,6,7,1
60,4,3,2,2,2,7,6,1
61,2,1,2,2,3,6,7,1
64,6,5,3,6,7,6,7,1
65,5,2,2,3,2,4,5,1
66,6,4,1,3,1,4,5,1
69,4,2,2,5,7,6,7,1
75,5,4,2,4,2,7,6,1
80,4,3,2,4,1,7,6,1
5,5,4,1,2,2,7,7,0
8,7,5,2,1,2,7,7,0
9,5,2,2,3,6,5,5,0
10,2,2,3,4,2,4,4,0
11,4,2,2,4,5,7,7,0
13,3,3,1,6,7,7,7,0
15,5,3,2,3,6,6,6,0
16,5,4,1,7,6,7,7,0
20,6,5,2,6,7,7,7,0
21,2,3,3,3,4,7,7,0
27,5,5,1,4,3,5,5,0
28,6,4,1,5,5,7,7,0
29,3,1,2,5,7,7,7,0
30,5,3,2,2,5,5,5,0
33,3,4,2,6,7,7,7,0
35,5,3,2,6,7,7,7,0
36,4,3,2,5,5,7,7,0
53,3,3,2,3,5,6,6,0
54,4,2,3,2,6,7,7,0
55,2,3,2,1,5,7,7,0
56,1,1,3,3,5,7,7,0
57,2,1,2,5,7,7,7,0
59,7,5,2,6,7,7,7,0
62,6,3,2,2,2,4,4,0
63,7,6,2,5,7,7,7,0
71,3,2,2,1,1,1,1,0
74,4,4,2,3,4,7,7,0
78,7,6,2,3,6,7,7,0
79,3,2,2,2,3,5,5,0
