Condition,Frequency,sub,EventNumber
Context,1,20,64
Self,3,20,45
Context,5,20,3
Self,1,20,49
Self,2,20,54
Context,1,20,36
Context,3,20,51
Context,2,20,38
Self,3,20,66
Self,1,20,61
Context,6,20,1
Self,2,20,28
Context,1,20,60
Self,3,20,78
Self,1,20,27
Context,1,20,67
Self,1,20,74
Self,2,20,58
Context,1,20,14
Self,4,20,16
Context,1,20,69
Context,5,20,52
Context,2,20,72
Self,3,20,2
Self,2,20,63
Context,1,20,13
Self,4,20,59
Self,3,20,48
Context,4,20,17
Context,1,20,30
Self,2,20,15
Context,1,20,80
Self,4,20,6
Context,1,20,22
Context,2,20,8
Self,1,20,25
Context,1,20,19
Self,4,20,21
Context,1,20,39
Context,1,20,56
Self,4,20,29
Self,4,20,11
Context,3,20,7
Context,2,20,33
Context,6,20,53
Self,2,20,42
Self,1,20,43
Self,5,20,5
Context,2,20,68
Self,2,20,37
Context,2,20,76
Self,3,20,35
Self,1,20,79
Context,5,20,26
Context,1,20,23
Self,4,20,40
Self,3,20,31
Context,1,20,9
Self,2,20,55
Context,5,20,50
Context,7,20,4
Self,3,20,47
Self,5,20,20
Context,3,20,18
,,,57
,,,12
,,,75
